Respondent,FormalEducation,EducationAfterEighthGrade,UndergradMajor,CompanySize,YearsCoding,JobSatisfaction,JobSatisfactionNum,LanguageWorkedWith,DatabaseWorkedWith,FrameworkWorkedWith,IDE,NumberMonitors,Methodology,EthicsChoice,StackOverflowVisit,StackOverflowVisit,WakeTime,HoursComputer,SkipMealsWeek,ExerciseWeek,Gender,RaceEthnicity,Age, Salary 
38537,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,NA,4926,3,NA,2,C;C++;Java;JavaScript;Python;Swift;CSS;Bash/Shell,MySQL;Amazon DynamoDB,NA,Atom;Vim;Visual Studio Code;Xcode,2,Agile;Extreme programming (XP),No,Daily or almost daily,345,5,2,0,0,Female,White or of European descent,35,65000
56557,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",1146,6,Slightly dissatisfied,2,C#;Objective-C;Swift;Bash/Shell,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",NA,Vim;Visual Studio;Visual Studio Code;Xcode,2,Agile;Pair programming;Scrum,No,Daily or almost daily,275,5,2,0,0,Male,White or of European descent,55,165000
51557,Associate degree,6,NA,4,1,Neither satisfied nor dissatisfied,3,JavaScript;HTML;CSS,NA,Node.js,Atom;Sublime Text;Visual Studio Code,2,NA,Depends on what it is,I have never visited Stack Overflow (before today),0,5,2,2,0,Male,White or of European descent,38,89000
71417,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Information systems, information technology, or system administration",73,6,Extremely dissatisfied,0,CoffeeScript;JavaScript;Ruby;HTML;CSS,MongoDB;PostgreSQL;SQLite,Node.js;React,Sublime Text,1,Agile;Kanban,No,Multiple times per day,474,5,2,2,6,Male,White or of European descent,30,150000
48068,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",16618,15,Moderately dissatisfied,1,Clojure;Groovy;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;Oracle,Angular;Node.js;React;Spring,IntelliJ;Visual Studio Code,1,Agile;Kanban,Depends on what it is,A few times per week,141,6,2,0,6,Male,South Asian,35,160000
60018,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,NA,15,6,Neither satisfied nor dissatisfied,3,C++;Java;JavaScript;Matlab;Python;R;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;Amazon Redshift,Django;Node.js;React;TensorFlow,IPython / Jupyter;NetBeans;Notepad++;RStudio;Visual Studio Code,1,Agile,No,A few times per week,86,6,2,0,0,Male,White or of European descent,34,154000
8003,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,Mathematics or statistics,640,9,Moderately dissatisfied,1,C;Haskell;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;MariaDB;Amazon DynamoDB;Apache HBase;Apache Hive;Amazon Redshift;Google BigQuery;Google Cloud Storage;Elasticsearch,Hadoop;Spark;TensorFlow;Torch/PyTorch,Emacs,2,Agile;Kanban;Pair programming;Scrum,No,A few times per week,106,6,2,0,0,NA,NA,,180000
79368,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,Mathematics or statistics,223,9,Moderately satisfied,4,Python;Scala;SQL;Bash/Shell,MySQL;PostgreSQL;Apache Hive;Amazon Redshift;Amazon RDS/Aurora;Elasticsearch,Spark,PyCharm;Vim,2,Agile;Kanban,No,A few times per week,58,6,2,4,1,Male,White or of European descent,39,80000
93868,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Information systems, information technology, or system administration",13490,9,Slightly dissatisfied,2,Java;JavaScript;Python;R;Scala;SQL,SQL Server;MySQL;Memcached;Elasticsearch,Spring;TensorFlow,Eclipse;IPython / Jupyter;Notepad++;Vim,2,Agile;Kanban;Scrum,Depends on what it is,A few times per week,92,6,2,2,6,Male,NA,60,200000
3435,Some college/university study without earning a degree,5,"Fine arts or performing arts (ex. graphic design, music, studio art)",75,18,Moderately dissatisfied,1,JavaScript;PHP;Ruby;SQL;Swift;HTML;CSS;Bash/Shell,MongoDB;MySQL;MariaDB;Memcached;Elasticsearch,Angular;Node.js;React,Atom;Sublime Text;Vim,3,Agile;Kanban;Pair programming;Scrum,Depends on what it is,A few times per week,101,6,2,0,7,Female,Black or of African descent,22,56500
22455,Some college/university study without earning a degree,5,"Computer science, computer engineering, or software engineering",175,30,Moderately satisfied,4,C#;JavaScript;Objective-C;SQL;Swift;VB.NET;HTML;CSS,SQL Server,.NET Core;Xamarin,Visual Studio;Visual Studio Code;Xcode,3,Agile;Extreme programming (XP);Formal standard such as ISO 9001 or IEEE 12207 (aka â€œwaterfallâ€ methodologies);Lean;Pair programming;Scrum,Yes,A few times per week,108,6,2,7,4,Male,White or of European descent,35,106000
36534,Some college/university study without earning a degree,5,"A business discipline (ex. accounting, finance, marketing)",20,3,Slightly satisfied,3,JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,MongoDB;SQL Server;PostgreSQL;SQLite,Node.js;React,Atom;Visual Studio Code,1,NA,No,Daily or almost daily,374,6,2,2,3,Male,South Asian,34,126000
10198,Some college/university study without earning a degree,5,"Computer science, computer engineering, or software engineering",79,12,Moderately satisfied,4,Java;JavaScript;Perl;PHP;SQL;HTML;CSS;Bash/Shell,MySQL,Node.js,NetBeans;Sublime Text,2,Mob programming,Depends on what it is,Daily or almost daily,308,6,2,0,3,Male,White or of European descent,39,133800
39010,"Other doctoral degree (Ph.D, Ed.D., etc.)",14,"Computer science, computer engineering, or software engineering",2804,27,Moderately satisfied,4,C++;C#;Go;JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,PostgreSQL,.NET Core;Node.js;Xamarin,Atom;Emacs;Sublime Text;Visual Studio;Visual Studio Code,2,Agile;Kanban;Lean;Pair programming;Scrum,No,Daily or almost daily,350,6,2,0,4,NA,NA,,80000
32923,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",76,12,Slightly dissatisfied,2,Java;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,PostgreSQL,Node.js;React;Spring,Atom;Eclipse;RubyMine;Visual Studio Code,2,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka â€œwaterfallâ€ methodologies);Scrum,No,Daily or almost daily,290,6,2,7,0,Male,White or of European descent,29,89000
19057,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",17306,9,Slightly dissatisfied,2,JavaScript;Python;Scala;SQL;TypeScript;Bash/Shell,MongoDB;Apache HBase,Angular;Hadoop;Node.js;Spark,Atom;IntelliJ;Vim,2,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka â€œwaterfallâ€ methodologies);Scrum,No,Daily or almost daily,364,6,2,2,5,Female,Hispanic or Latino/Latina,53,145000
13702,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",646,3,Moderately satisfied,4,Java;JavaScript;HTML;CSS;Bash/Shell,SQL Server;Neo4j,Angular;Node.js;React;Spring,IntelliJ;Sublime Text;Visual Studio Code,3,Agile;Kanban;Mob programming;Pair programming;Scrum,Depends on what it is,Daily or almost daily,276,6,2,2,0,Male,White or of European descent,42,130000
97932,Some college/university study without earning a degree,5,"Fine arts or performing arts (ex. graphic design, music, studio art)",1746,1,Moderately satisfied,4,JavaScript;HTML;CSS;Bash/Shell,NA,Node.js;React,Atom;IntelliJ,2,Agile;Kanban;Lean;Pair programming,No,Multiple times per day,363,6,2,0,3,Male,White or of European descent,61,170000
81095,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",11755,30,Moderately satisfied,4,C++;C#;JavaScript;SQL;TypeScript;VB.NET;HTML;CSS,SQL Server;SQLite,Angular;.NET Core,Notepad++;Visual Studio;Visual Studio Code,2,Agile,Depends on what it is,Multiple times per day,497,6,2,4,4,Male,White or of European descent,53,75000
92560,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",101,6,Moderately satisfied,4,C#;Java;JavaScript;Python;Ruby;SQL;Swift;HTML;CSS;Bash/Shell,MongoDB;MySQL;SQLite,Angular;Node.js,Eclipse;Notepad++;Sublime Text;Visual Studio;Xcode,2,NA,Depends on what it is,Multiple times per day,493,6,2,0,0,Male,White or of European descent,21,37440
29264,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",1498,18,Extremely satisfied,5,C#;JavaScript;SQL;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Angular,Visual Studio,2,NA,No,A few times per month or weekly,31,7,2,7,1,Male,White or of European descent,41,85000
66371,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"A social science (ex. anthropology, psychology, political science)",61,3,Moderately satisfied,4,JavaScript;HTML;CSS,MongoDB;SQL Server;MySQL;MariaDB,Node.js;React,Atom;Visual Studio Code,2,Agile;Extreme programming (XP);Lean;Pair programming,No,A few times per month or weekly,19,7,2,0,5,Male,White or of European descent,44,118000
38894,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",10715,12,Slightly satisfied,3,C#;F#,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",.NET Core,Vim;Visual Studio;Visual Studio Code,2,Agile;Kanban;Scrum,No,A few times per month or weekly,40,7,2,4,6,Male,White or of European descent,47,95000
11865,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",1597,15,Slightly satisfied,3,Java;Python;R;Scala,NA,Hadoop;Spark;TensorFlow;Torch/PyTorch,IntelliJ,1,NA,No,A few times per week,148,7,2,0,1,Male,White or of European descent,50,200000
98161,"Other doctoral degree (Ph.D, Ed.D., etc.)",14,"Computer science, computer engineering, or software engineering",17,30,Extremely satisfied,5,Assembly;C;Java;Cobol;HTML,SQL Server;PostgreSQL,NA,Emacs;Notepad++;Visual Studio,2,Formal standard such as ISO 9001 or IEEE 12207 (aka â€œwaterfallâ€ methodologies),No,A few times per week,95,7,2,2,3,NA,NA,,125000
16837,"Other doctoral degree (Ph.D, Ed.D., etc.)",14,"Another engineering discipline (ex. civil, electrical, mechanical)",2,3,Moderately satisfied,4,C;HTML;CSS,NA,NA,Vim,2,NA,No,A few times per week,56,7,2,0,3,Male,White or of European descent,28,54000
27484,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",16262,18,Moderately satisfied,4,Assembly;C;C++;C#;Java;JavaScript;Objective-C;Python;TypeScript;HTML,NA,Node.js,IntelliJ;NetBeans;Visual Studio;Visual Studio Code;Xcode,2,Scrum,No,Daily or almost daily,257,7,2,0,5,Male,White or of European descent,31,103000
39681,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",12204,6,Moderately satisfied,4,Go;Python;Bash/Shell,NA,NA,Sublime Text,2,Agile,No,Less than once per month or monthly,10,7,2,2,3,Female,White or of European descent,42,175000
58188,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"A humanities discipline (ex. literature, history, philosophy)",10748,6,Extremely satisfied,5,JavaScript;HTML;CSS;Bash/Shell,NA,Node.js;React,Vim,2,NA,No,Multiple times per day,336,7,2,0,3,Male,White or of European descent,43,100000
32215,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",131,6,Moderately satisfied,4,C#;Clojure;Groovy;Java;JavaScript;Perl;Kotlin;Bash/Shell,Cassandra;Elasticsearch,Angular;Node.js;React;Spring,IntelliJ;Notepad++;Vim,2,Agile;Kanban;Scrum,Depends on what it is,Multiple times per day,406,7,2,0,7,NA,NA,,134000
53894,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",18122,3,Moderately satisfied,4,Java;JavaScript;Python;Bash/Shell,SQL Server;Amazon DynamoDB,Spring,Emacs;IntelliJ;IPython / Jupyter;PyCharm;Vim;Visual Studio Code;Xcode,3,Agile;Kanban;Scrum,No,Multiple times per day,401,7,2,2,1,Male,White or of European descent,64,96000
38184,Some college/university study without earning a degree,5,"A business discipline (ex. accounting, finance, marketing)",18016,6,Moderately satisfied,4,NA,Redis;SQL Server;MySQL;PostgreSQL,.NET Core;Django;Node.js;React;TensorFlow,Android Studio;Atom;IntelliJ;Visual Studio;Visual Studio Code,2,Extreme programming (XP),NA,A few times per month or weekly,42,8,2,2,0,Male,White or of European descent,50,90000
93076,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",16,18,Extremely satisfied,5,C;C++;Java;JavaScript;Objective-C;PHP;SQL;Swift;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL,Node.js;React,IntelliJ;PyCharm;Sublime Text;Xcode,1,Agile;Pair programming;Scrum,No,A few times per week,142,8,2,2,4,Male,White or of European descent,29,63000
51667,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Another engineering discipline (ex. civil, electrical, mechanical)",6759,3,Extremely satisfied,5,Lua;Matlab;Python;HTML;Bash/Shell,NA,NA,IPython / Jupyter;Notepad++,1,NA,Depends on what it is,A few times per week,144,8,2,0,1,Male,White or of European descent,47,95000
57065,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",14345,18,Extremely satisfied,5,Java;JavaScript;Ruby;HTML;CSS;Bash/Shell,Memcached;Google Cloud Storage,Node.js,Visual Studio Code,2,Agile;Scrum,No,A few times per week,138,8,2,2,3,Male,White or of European descent,34,80000
85105,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",72,3,Neither satisfied nor dissatisfied,3,C;C++;Java;JavaScript;Matlab;Python;Bash/Shell,Elasticsearch,Node.js;Spring,Eclipse;Sublime Text,3,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka â€œwaterfallâ€ methodologies);Scrum,Depends on what it is,Multiple times per day,323,8,2,0,6,Male,Hispanic or Latino/Latina,36,98000
54792,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",10432,6,Slightly satisfied,3,C;C++;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,MySQL,NA,Sublime Text;Vim,3,Agile;Scrum,No,Multiple times per day,383,8,2,4,3,NA,NA,56,70000
59121,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",22,12,Moderately satisfied,4,C++;Matlab;Python;Bash/Shell,NA,TensorFlow,PyCharm;Vim;Visual Studio,2,Agile;Extreme programming (XP);Pair programming,No,Daily or almost daily,289,9,2,0,4,Male,White or of European descent,41,60000
68954,Some college/university study without earning a degree,5,"Computer science, computer engineering, or software engineering",3331,3,Extremely satisfied,5,Erlang;Java;JavaScript;HTML;CSS,MySQL;PostgreSQL,Node.js;React;TensorFlow,Atom;IntelliJ,2,Agile;Kanban;Scrum,No,A few times per week,143,I do not have a set schedule,2,0,6,"Non-binary, genderqueer, or gender non-conforming",White or of European descent,25,115000
36033,Associate degree,6,NA,15973,1,NA,2,JavaScript;Python;HTML;CSS,SQL Server;MySQL;PostgreSQL,NA,Atom;Sublime Text;Visual Studio Code,1,Formal standard such as ISO 9001 or IEEE 12207 (aka â€œwaterfallâ€ methodologies);Lean,Depends on what it is,A few times per week,118,I work night shifts,2,7,1,Male,White or of European descent,39,130000
100166,Some college/university study without earning a degree,5,"Computer science, computer engineering, or software engineering",16418,1,NA,2,Java;JavaScript;HTML;CSS,NA,.NET Core,Eclipse;NetBeans;Notepad++;Visual Studio Code,1,NA,Depends on what it is,Daily or almost daily,271,I work night shifts,2,2,6,"Non-binary, genderqueer, or gender non-conforming",White or of European descent,32,112320
10700,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",403,3,NA,2,C;C++;Java;JavaScript;HTML;CSS;Bash/Shell,NA,NA,Android Studio;Atom;Vim,2,Agile,No,A few times per week,75,13,6,0,0,Male,White or of European descent,37,250000
23384,Some college/university study without earning a degree,5,"Computer science, computer engineering, or software engineering",399,21,Extremely satisfied,5,C++;C#;JavaScript;Objective-C;HTML;CSS;Bash/Shell,"MongoDB;Redis;SQL Server;PostgreSQL;Memcached;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",.NET Core;Node.js;Xamarin,Android Studio;Sublime Text;Visual Studio;Xcode,1,Agile;Extreme programming (XP);Kanban;Pair programming;Scrum,No,A few times per month or weekly,26,4,6,0,1,Male,White or of European descent,28,130000
8580,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",700,6,Extremely dissatisfied,0,Java;PHP;SQL,MySQL,NA,IntelliJ;NetBeans,2,NA,No,A few times per month or weekly,23,4,6,0,7,Female,Hispanic or Latino/Latina;White or of European descent,33,120000
5634,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",439,6,Extremely satisfied,5,PHP;SQL;HTML;CSS,MongoDB;SQL Server;MySQL;Elasticsearch,NA,PHPStorm;Visual Studio Code,2,Agile;Kanban,Depends on what it is,A few times per month or weekly,12,4,6,0,7,Male,White or of European descent,26,95000
26248,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",8843,12,Moderately dissatisfied,1,Groovy;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;Oracle;MariaDB,Angular;Spring,Atom;IntelliJ;Vim,2,Agile;Scrum,Depends on what it is,A few times per month or weekly,37,4,6,2,7,Male,White or of European descent,31,150000
48437,Some college/university study without earning a degree,5,"Computer science, computer engineering, or software engineering",25,9,Moderately dissatisfied,1,C;C++;Java;JavaScript;Objective-C;Python;SQL;HTML;CSS,MongoDB;MySQL;Amazon DynamoDB;Elasticsearch,Node.js;React;Spring,IntelliJ;PyCharm;Sublime Text;Vim,2,Agile;Lean,Depends on what it is,A few times per month or weekly,19,4,6,2,1,Male,White or of European descent,32,56000
74926,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"A natural science (ex. biology, chemistry, physics)",2290,12,Moderately satisfied,4,C#;Clojure;Erlang;F#;Groovy;Java;Objective-C;Python;Scala;SQL;Kotlin;HTML;CSS;Bash/Shell,Redis;SQL Server;MySQL;PostgreSQL;Apache HBase;Apache Hive;Memcached;Elasticsearch,.NET Core;Hadoop;Node.js;Spark;Spring,Android Studio;Eclipse;IntelliJ;Notepad++;PyCharm;Visual Studio Code,2,Agile;Extreme programming (XP);Formal standard such as ISO 9001 or IEEE 12207 (aka â€œwaterfallâ€ methodologies);Lean;Scrum,No,A few times per month or weekly,23,4,6,0,5,Male,White or of European descent,59,100000
8801,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,NA,856,15,Moderately satisfied,4,C#;Erlang;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;MariaDB,Angular;.NET Core,Notepad++;Vim;Visual Studio,2,Agile;Kanban;Pair programming;Scrum,No,A few times per month or weekly,15,4,6,0,0,Male,White or of European descent,29,32000
71782,"Other doctoral degree (Ph.D, Ed.D., etc.)",14,"A natural science (ex. biology, chemistry, physics)",11280,30,Moderately satisfied,4,C;C++;SQL;Bash/Shell,NA,NA,Eclipse;Notepad++;Sublime Text;Vim,2,Agile;Extreme programming (XP);Pair programming;Scrum,No,A few times per month or weekly,39,4,6,0,0,Male,White or of European descent,49,89161
92254,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"A humanities discipline (ex. literature, history, philosophy)",210,15,Neither satisfied nor dissatisfied,3,C#;F#;JavaScript;SQL;HTML;CSS;Bash/Shell,SQL Server,.NET Core;Node.js,Notepad++;Visual Studio;Visual Studio Code,2,Agile;Extreme programming (XP);Formal standard such as ISO 9001 or IEEE 12207 (aka â€œwaterfallâ€ methodologies);Kanban;Pair programming;Scrum,No,A few times per month or weekly,40,4,6,4,0,Male,White or of European descent,54,55000
66331,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"A humanities discipline (ex. literature, history, philosophy)",92,21,Slightly dissatisfied,2,C#;JavaScript;Lua;PHP;HTML;CSS,MySQL;PostgreSQL,Angular;Node.js,Sublime Text;Vim;Visual Studio Code,2,Agile;Lean;Pair programming,Depends on what it is,A few times per month or weekly,27,4,6,2,7,Male,White or of European descent,38,82000
99988,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,NA,28,6,Slightly dissatisfied,2,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;MariaDB,React,PHPStorm;Sublime Text;Vim,2,Agile,No,A few times per month or weekly,22,4,6,2,7,Male,White or of European descent,32,65000
46980,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Computer science, computer engineering, or software engineering",23,12,Extremely satisfied,5,JavaScript;HTML;CSS,NA,Angular;Node.js,Visual Studio;Visual Studio Code,3,Agile;Scrum,Depends on what it is,A few times per month or weekly,41,4,6,0,5,Male,White or of European descent,25,114000
50875,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"A business discipline (ex. accounting, finance, marketing)",9773,9,Extremely satisfied,5,C#;JavaScript;PHP;Ruby;SQL;HTML;CSS,Redis;SQL Server;MySQL;SQLite;Elasticsearch,.NET Core;Node.js;React,PHPStorm;Vim,3,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka â€œwaterfallâ€ methodologies);Kanban;Pair programming,No,A few times per month or weekly,20,4,6,0,0,Male,White or of European descent,33,115000
69755,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,NA,79,3,Moderately dissatisfied,1,JavaScript;SQL;HTML;CSS,"SQL Server;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Angular;Node.js,Atom;Visual Studio Code,3,Agile;Pair programming;Scrum,Depends on what it is,A few times per month or weekly,29,4,6,2,4,Male,White or of European descent,32,149000
